GEOID,NAME,variable,estimate,moe
05001,"Arkansas County, Arkansas",B19301_001,30130,1536
05003,"Ashley County, Arkansas",B19301_001,24754,2187
05005,"Baxter County, Arkansas",B19301_001,30900,2404
05007,"Benton County, Arkansas",B19301_001,45335,1437
05009,"Boone County, Arkansas",B19301_001,29583,1702
05011,"Bradley County, Arkansas",B19301_001,25607,3134
05013,"Calhoun County, Arkansas",B19301_001,26261,2417
05015,"Carroll County, Arkansas",B19301_001,29107,2043
05017,"Chicot County, Arkansas",B19301_001,24003,3047
05019,"Clark County, Arkansas",B19301_001,26153,1573
05021,"Clay County, Arkansas",B19301_001,27614,1589
05023,"Cleburne County, Arkansas",B19301_001,32380,2693
05025,"Cleveland County, Arkansas",B19301_001,27496,2435
05027,"Columbia County, Arkansas",B19301_001,25947,2183
05029,"Conway County, Arkansas",B19301_001,28521,2426
05031,"Craighead County, Arkansas",B19301_001,32319,1299
05033,"Crawford County, Arkansas",B19301_001,28935,1376
05035,"Crittenden County, Arkansas",B19301_001,28221,1480
05037,"Cross County, Arkansas",B19301_001,28569,2164
05039,"Dallas County, Arkansas",B19301_001,27474,2132
05041,"Desha County, Arkansas",B19301_001,22848,1555
05043,"Drew County, Arkansas",B19301_001,26563,2310
05045,"Faulkner County, Arkansas",B19301_001,33465,1183
05047,"Franklin County, Arkansas",B19301_001,27137,1901
05049,"Fulton County, Arkansas",B19301_001,23128,1674
05051,"Garland County, Arkansas",B19301_001,32793,1277
05053,"Grant County, Arkansas",B19301_001,36832,3306
05055,"Greene County, Arkansas",B19301_001,27650,1053
05057,"Hempstead County, Arkansas",B19301_001,26620,2694
05059,"Hot Spring County, Arkansas",B19301_001,26304,1838
05061,"Howard County, Arkansas",B19301_001,25639,2055
05063,"Independence County, Arkansas",B19301_001,30007,3120
05065,"Izard County, Arkansas",B19301_001,24443,2064
05067,"Jackson County, Arkansas",B19301_001,24194,2483
05069,"Jefferson County, Arkansas",B19301_001,25317,1077
05071,"Johnson County, Arkansas",B19301_001,24865,1524
05073,"Lafayette County, Arkansas",B19301_001,22393,1731
05075,"Lawrence County, Arkansas",B19301_001,26104,1448
05077,"Lee County, Arkansas",B19301_001,21687,4733
05079,"Lincoln County, Arkansas",B19301_001,18302,1792
05081,"Little River County, Arkansas",B19301_001,28791,2096
05083,"Logan County, Arkansas",B19301_001,29471,2680
05085,"Lonoke County, Arkansas",B19301_001,34081,1183
05087,"Madison County, Arkansas",B19301_001,28869,2390
05089,"Marion County, Arkansas",B19301_001,26461,1941
05091,"Miller County, Arkansas",B19301_001,28025,1935
05093,"Mississippi County, Arkansas",B19301_001,30350,1827
05095,"Monroe County, Arkansas",B19301_001,25956,2396
05097,"Montgomery County, Arkansas",B19301_001,28786,2229
05099,"Nevada County, Arkansas",B19301_001,23002,2769
05101,"Newton County, Arkansas",B19301_001,27063,2029
05103,"Ouachita County, Arkansas",B19301_001,26339,1511
05105,"Perry County, Arkansas",B19301_001,29441,1960
05107,"Phillips County, Arkansas",B19301_001,22360,1413
05109,"Pike County, Arkansas",B19301_001,29522,3084
05111,"Poinsett County, Arkansas",B19301_001,25587,1632
05113,"Polk County, Arkansas",B19301_001,32243,3240
05115,"Pope County, Arkansas",B19301_001,29516,1544
05117,"Prairie County, Arkansas",B19301_001,31979,3737
05119,"Pulaski County, Arkansas",B19301_001,39780,858
05121,"Randolph County, Arkansas",B19301_001,27416,2021
05123,"St. Francis County, Arkansas",B19301_001,22296,2694
05125,"Saline County, Arkansas",B19301_001,38149,1220
05127,"Scott County, Arkansas",B19301_001,23837,1786
05129,"Searcy County, Arkansas",B19301_001,22545,1976
05131,"Sebastian County, Arkansas",B19301_001,34275,2767
05133,"Sevier County, Arkansas",B19301_001,25685,2326
05135,"Sharp County, Arkansas",B19301_001,26959,4608
05137,"Stone County, Arkansas",B19301_001,23196,2633
05139,"Union County, Arkansas",B19301_001,30968,1961
05141,"Van Buren County, Arkansas",B19301_001,27284,1702
05143,"Washington County, Arkansas",B19301_001,36545,942
05145,"White County, Arkansas",B19301_001,28459,1515
05147,"Woodruff County, Arkansas",B19301_001,29471,3086
05149,"Yell County, Arkansas",B19301_001,26871,1453
